article_link,headline,classes
https://www.huffingtonpost.com/entry/versace-black...,modi promis minimum govern maximum govern expect begin difficult job reform state take year get justic state busi exit psu templ,2
https://www.huffingtonpost.com/entry/roseanne-revi...,talk nonsens continu drama vote modi,0
https://local.theonion.com/mom-starting-to-fear-so...,say vote modi welcom bjp told rahul main campaign modi think modi relax,1
https://politics.theonion.com/boehner-just-wants-w...,ask support prefix chowkidar name modi great servic confus read crustal clear crass filthi nonsens see abus come chowkidar,1
https://www.huffingtonpost.com/entry/jk-rowling-wi...,answer among power world leader today trump putin modi may,1
https://www.huffingtonpost.com/entry/advancing-the...,kiya tho refresh maarkefir comment karo,0
https://www.huffingtonpost.com/entry/how-meat-is-g...,surat women perform yagna seek divin grace narendra modi becom,0
https://www.huffingtonpost.com/entry/boxed-college...,come cabinet scholar like modi smriti hema time introspect,0
https://politics.theonion.com/top-snake-handler-le...,upcom elect india saga go import pair look current modi lead govt elect deal brexit combin weekli look juici bear imho,1
https://www.huffingtonpost.com/entry/fridays-morni...,gandhi gay modi,1
https://www.huffingtonpost.com/entry/airline-passe...,thing like demonetis gst good servic tax upper cast would sort either view favour say need give time cast like dalit muslim modi constitu,1
https://www.huffingtonpost.com/entry/facebook-heal...,hope tuthukudi peopl would prefer honest well behav nationalist courag likli minist modi cabinet vote benifit thuthukudi,1
https://www.huffingtonpost.comhttp://www.theguardi...,calm water where modi wave,1
https://www.huffingtonpost.com/entry/jeffrey-lord-...,one vote make differ anil kapoor answer modi elect clarion call extend support vote kar campaign,0
https://www.huffingtonpost.com/entry/barcelona-ref...,one vote make differ anil kapoor answer modi elect clarion call extend support campaign,0
https://entertainment.theonion.com/nuclear-bomb-de...,vote parti leadershipwho take fast firm action none narendra damodarda modi bjp parti,2
https://www.theonion.com/cosby-lawyer-asks-why-acc...,vote modi creat job,0
https://www.theonion.com/stock-analysts-confused-f...,vote ensur govt need deserv anupam kher respond modi appeal elect,0
https://www.huffingtonpost.com/entry/bloomberg-phi...,dont play word talk modi swami relat guru say good chowkidar protect good mind tweet dark side terror brighter side better know,1
https://www.huffingtonpost.com/entry/versace-black...,modi etern wrong dear sirji perfectli fine indian peopl,2
https://www.huffingtonpost.com/entry/roseanne-revi...,impress godrej tata compliment hope get second term,1
https://local.theonion.com/mom-starting-to-fear-so...,maid say rahul keep say modi kalla yet goe hug wink magand idu bekagittu,0
https://politics.theonion.com/boehner-just-wants-w...,pleas vote modi congress tri divid india,0
https://www.huffingtonpost.com/entry/jk-rowling-wi...,ye good job highli insensitivearrog incompet ploar need defeat costnobodi know made arrog person minist gave ticketh touch grounddespit month upsc protest nvr met,1
https://www.huffingtonpost.com/entry/advancing-the...,hindustan seen worst hindu maj hindu rashtra thrash rascal face anti indian politiciansantin urban naxal wait watch modi win pakistan mein bhi hindu hona garv baat hogi,1
https://www.huffingtonpost.com/entry/how-meat-is-g...,higher vote turnout directli proport bjp victori wonder modi launch campaign like dont sit home ensur everyon friend famili rel vote never,1
