Id,clean_text,category
1,modi promis minimum govern maximum govern expect begin difficult job reform state take year get justic state busi exit psu templ,2
2,talk nonsens continu drama vote modi,0
3,say vote modi welcom bjp told rahul main campaign modi think modi relax,1
4,ask support prefix chowkidar name modi great servic confus read crustal clear crass filthi nonsens see abus come chowkidar,1
5,answer among power world leader today trump putin modi may,1
6,kiya tho refresh maarkefir comment karo,0
7,surat women perform yagna seek divin grace narendra modi becom,0
8,come cabinet scholar like modi smriti hema time introspect,0
9,upcom elect india saga go import pair look current modi lead govt elect deal brexit combin weekli look juici bear imho,1
10,gandhi gay modi,1
11,thing like demonetis gst good servic tax upper cast would sort either view favour say need give time cast like dalit muslim modi constitu,1
12,hope tuthukudi peopl would prefer honest well behav nationalist courag likli minist modi cabinet vote benifit thuthukudi,1
13,calm water where modi wave,1
14,one vote make differ anil kapoor answer modi elect clarion call extend support vote kar campaign,0
15,one vote make differ anil kapoor answer modi elect clarion call extend support campaign,0
16,vote parti leadershipwho take fast firm action none narendra damodarda modi bjp parti,2
17,vote modi creat job,0
18,vote ensur govt need deserv anupam kher respond modi appeal elect,0
19,dont play word talk modi swami relat guru say good chowkidar protect good mind tweet dark side terror brighter side better know,1
20,write chowkidar mean anti modi tri visit plz use anti,2
21,one recent said peopl vote modi anti nation put gen hooda congress support jawan support modi anti nation great thing hear,1
22,firm belief leadership shri narendra modi bjp enter polit given form file nomin khammam parliamentari seat proceed khammam today,2
23,crush jaw shoutmodimodi say jd mla incit murder,0
24,sultanpur uttar pradesh loksabha candid select pawan kumar pandey actual public want given vote modi current condid popular district candid bsp candid sonbhadra singh,2
25,thiugh nehru aliv still aliv heart modi everi failur nehru respons,2
26,develop becom mass movement modi govt econom social polit empower life one wit posit paradigm shift new india,1
27,alreadi taken notic order probe time modi take notic muslim famili harass beaten recent extremist hindu suggest leav india move pakistan,0
28,wait modi also talk varanasi,0
29,accord yogi imran masood kin azhar masood accord logic nirav modi lalit modi narendra modi brother mother,0
30,agre tenur modiganga rejuven work start work,0
31,three code modi crack give india huge foreign polici jumpstart via,1
32,vote ensur govt need deserv anupam kher respond modi vote kar appeal elect,0
33,modi govt slash india educ budget clear indic dont care india futur congress presid shri hand ensur increas budget gdp futur india deserv,2
34,born religion femal deiti worship misogynist sadist tradit total point isit man made tradit written one religi lunat support religion repress,1
35,peopl made amazedn fear frustat may result vote sir wast ministerdisgrac entir modi cabinet,2
36,modi,0
37,check latest articl premier archeri leagu via,1
38,india second optimist global execut job growth show survey india senior execut said optimist growth number job role year,1
39,peopl wish vision india least interest person enmiti modi other person problem handl person dont expect nation join dirti fight other tell vote,2
40,modi etern wrong dear sirji perfectli fine indian peopl,2
41,impress godrej tata compliment hope get second term,1
